type	lineA	lineB	witA	witB	A_form	A_lemma	A_pos	B_form	B_lemma	B_pos
lexicale	182	184	Cliges_A	Cliges_P	afeitiez	afaitier	VERppe	haities	haitier	VERppe
pos_diff	184	186	Cliges_A	Cliges_P	Qu'	que4	CONsub	K	que4	CONcoo
pos_diff	185	187	Cliges_A	Cliges_P	si	si	ADVgen	se	si	PROper
lacune	185	187	Cliges_A	Cliges_P	l'	le	DETdef			
lexicale	185	187	Cliges_A	Cliges_P	enore	onor	NOMcom	li	il	PROper
lexicale	185	187	Cliges_A	Cliges_P	ci	ci	ADVgen	enorte	enorter	VERcjg
lexicale	185	187	Cliges_A	Cliges_P	li	il	PROper	et	et	CONcoo
lexicale	186	188	Cliges_A	Cliges_P	despande	despendre2	VERcjg	espande	espandre	NOMcom
lexicale	188	190	Cliges_A	Cliges_P	de	de	PRE	entent	entendre	VERcjg
lexicale	188	190	Cliges_A	Cliges_P	ce	ce1	PROdem	a	a3	PRE
lacune	188	190	Cliges_A	Cliges_P	croi	croire	VERcjg			
lexicale	189	191	Cliges_A	Cliges_P	Que	que4	CONsub	Car	car	CONcoo
pos_diff	189	191	Cliges_A	Cliges_P	Largesce	largece	NOMpro	Largece	largece	NOMcom
lexicale	191	193	Cliges_A	Cliges_P	Ne	ne1	ADVneg	Ce	ce1	PROdem
lexicale	192	194	Cliges_A	Cliges_P	A	a3	PRE	En	en1	PRE
pos_diff	192	194	Cliges_A	Cliges_P	quel	quel1	PROrel	quel	quel1	DETint
lexicale	192	194	Cliges_A	Cliges_P	bien	bien1	NOMcom	liu	lieu	NOMcom
lacune	192	194	Cliges_A	Cliges_P	cil	cel	PROdem			
lexicale	192	194	Cliges_A	Cliges_P	se	soi1	PROper	porroit	pöoir	VERcjg
lexicale	192	194	Cliges_A	Cliges_P	puet	pöoir	VERcjg	on	on	PROind
lexicale	192	194	Cliges_A	Cliges_P	torner	torner	VERinf	trover	trover	VERinf
lexicale	193	195	Cliges_A	Cliges_P	Ja	ja	ADVgen	Home	ome	NOMcom
